state,date,new_confirmed,new_deaths,estimated_population_2019,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,epidemiological_week
RS,2020-06-16,1033,14,11377239,16471,144.7715,0.0227,25
SC,2020-06-16,442,13,7164788,14402,201.01083,0.0147,25
SE,2020-06-16,635,12,2298696,16310,709.53271,0.0223,25
SP,2020-06-16,8825,365,45919049,190285,414.39229,0.0585,25
TO,2020-06-16,264,9,1572866,7573,481.47776,0.0197,25
AC,2020-06-17,336,10,881935,10339,1172.30862,0.0272,25
AL,2020-06-17,1235,18,3337357,24867,745.11058,0.0326,25
AM,2020-06-17,1529,29,4144597,59547,1436.738,0.0433,25
AP,2020-06-17,594,1,845731,18618,2201.4092,0.0182,25
BA,2020-06-17,1720,41,14873064,40926,275.16859,0.0299,25
CE,2020-06-17,3437,115,9132078,85606,937.42081,0.062,25
DF,2020-06-17,1760,17,3015268,27140,900.08583,0.0134,25
ES,2020-06-17,1477,47,4018650,30507,759.13553,0.0386,25
GO,2020-06-17,940,6,7018354,12776,182.03698,0.02,25
MA,2020-06-17,2024,33,7075181,64735,914.95892,0.0243,25
MG,2020-06-17,1323,35,21168791,23347,110.28972,0.023,25
MS,2020-06-17,110,3,2778986,4274,153.7971,0.0091,25
MT,2020-06-17,484,22,3484466,7361,211.25188,0.037,25
PA,2020-06-17,2431,45,8602865,76623,890.6684,0.0574,25
PB,2020-06-17,1584,25,4018127,31712,789.22344,0.0219,25
PE,2020-06-17,1019,50,9557071,47446,496.44917,0.0845,25
PI,2020-06-17,540,23,3273227,12099,369.63523,0.0348,25
PR,2020-06-17,535,22,11433957,11225,98.17249,0.0351,25
RJ,2020-06-17,3620,171,17264943,86963,503.697,0.0936,25
RN,2020-06-17,199,29,3506853,15889,453.08429,0.0412,25
RO,2020-06-17,557,15,1777225,13567,763.38111,0.0266,25
RR,2020-06-17,271,0,605761,7421,1225.07061,0.0302,25
RS,2020-06-17,657,13,11377239,17128,150.54619,0.0226,25
SC,2020-06-17,613,4,7164788,15015,209.56656,0.0144,25
