state,date,new_confirmed,new_deaths,estimated_population_2019,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,epidemiological_week
RO,2020-07-03,271,3,1777225,22241,1251.44537,0.024,27
RR,2020-07-03,446,6,605761,18769,3098.4167,0.0194,27
RS,2020-07-03,1176,27,11377239,30371,266.94526,0.0227,27
SC,2020-07-03,1686,14,7164788,30261,422.35723,0.0124,27
SE,2020-07-03,1574,39,2298696,28186,1226.17345,0.0271,27
SP,2020-07-03,8338,343,45919049,310517,676.22698,0.0505,27
TO,2020-07-03,546,4,1572866,12282,780.86754,0.0175,27
AC,2020-07-04,375,4,881935,14487,1642.63806,0.027,27
AL,2020-07-04,851,21,3337357,39255,1176.23017,0.0289,27
AM,2020-07-04,965,31,4144597,75502,1821.69702,0.0386,27
AP,2020-07-04,235,3,845731,29809,3524.64318,0.0148,27
BA,2020-07-04,3171,49,14873064,85485,574.76388,0.024,27
CE,2020-07-04,3153,68,9132078,121464,1330.08062,0.053,27
DF,2020-07-04,1764,28,3015268,55760,1849.25519,0.012,27
ES,2020-07-04,1135,23,4018650,52824,1314.47128,0.0337,27
GO,2020-07-04,1024,19,7018354,28526,406.44858,0.0218,27
MA,2020-07-04,843,32,7075181,89057,1258.72398,0.0245,27
MG,2020-07-04,2607,73,21168791,55958,264.34197,0.0211,27
MS,2020-07-04,179,3,2778986,10089,363.04609,0.0116,27
MT,2020-07-04,793,45,3484466,20333,583.53274,0.0387,27
PA,2020-07-04,1280,27,8602865,113811,1322.943,0.0448,27
PB,2020-07-04,1541,20,4018127,52306,1301.75079,0.0207,27
PE,2020-07-04,1095,48,9557071,63457,663.97958,0.0806,27
PI,2020-07-04,518,22,3273227,26079,796.73668,0.0301,27
PR,2020-07-04,2404,36,11433957,30570,267.36151,0.025,27
RJ,2020-07-04,1472,124,17264943,120428,697.52909,0.0882,27
RN,2020-07-04,323,8,3506853,34645,987.92279,0.035,27
RO,2020-07-04,716,15,1777225,22957,1291.7329,0.0239,27
RR,2020-07-04,153,4,605761,18922,3123.67419,0.0194,27
RS,2020-07-04,1248,25,11377239,31619,277.91453,0.0226,27
SC,2020-07-04,1670,7,7164788,31931,445.66566,0.012,27
SE,2020-07-04,1575,19,2298696,29761,1294.69055,0.0263,27
SP,2020-07-04,2013,302,45919049,312530,680.61079,0.0512,27
TO,2020-07-04,194,5,1572866,12476,793.20171,0.0176,27
AC,2020-07-05,135,0,881935,14622,1657.94531,0.0267,28
AL,2020-07-05,680,19,3337357,39935,1196.60558,0.0289,28
AM,2020-07-05,512,11,4144597,76014,1834.05045,0.0385,28
AP,2020-07-05,74,1,845731,29883,3533.39301,0.0148,28
BA,2020-07-05,1563,57,14873064,87048,585.27281,0.0242,28
CE,2020-07-05,522,-2,9132078,121986,1335.79674,0.0528,28
DF,2020-07-05,2094,28,3015268,57854,1918.70175,0.0121,28
ES,2020-07-05,569,22,4018650,53393,1328.63026,0.0338,28
GO,2020-07-05,0,0,7018354,28526,406.44858,0.0218,28
MA,2020-07-05,657,34,7075181,89714,1268.00996,0.0247,28
MG,2020-07-05,2325,18,21168791,58283,275.32512,0.0206,28
MS,2020-07-05,164,5,2778986,10253,368.94752,0.0119,28
MT,2020-07-05,748,35,3484466,21081,604.99945,0.0389,28
PA,2020-07-05,724,9,8602865,114535,1331.3588,0.0446,28
PB,2020-07-05,422,17,4018127,52728,1312.2532,0.0208,28
PE,2020-07-05,1672,27,9557071,65129,681.47448,0.079,28
PI,2020-07-05,432,25,3273227,26511,809.93466,0.0305,28
PR,2020-07-05,889,32,11433957,31459,275.1366,0.0253,28
RJ,2020-07-05,864,43,17264943,121292,702.53345,0.0879,28
RN,2020-07-05,411,41,3506853,35056,999.6427,0.0358,28
RO,2020-07-05,522,7,1777225,23479,1321.10453,0.0236,28
RR,2020-07-05,26,3,605761,18948,3127.96631,0.0196,28
RS,2020-07-05,336,12,11377239,31955,280.86779,0.0228,28
SC,2020-07-05,1038,10,7164788,32969,460.15318,0.0119,28
SE,2020-07-05,456,15,2298696,30217,1314.52789,0.0264,28
SP,2020-07-05,7649,82,45919049,320179,697.26836,0.0502,28
TO,2020-07-05,164,4,1572866,12640,803.62854,0.0177,28
AC,2020-07-06,66,3,881935,14688,1665.42886,0.0268,28
AL,2020-07-06,634,19,3337357,40569,1215.60265,0.0289,28
AM,2020-07-06,413,9,4144597,76427,1844.01523,0.0384,28
AP,2020-07-06,121,7,845731,30004,3547.70016,0.015,28
BA,2020-07-06,1231,61,14873064,88279,593.54952,0.0246,28
CE,2020-07-06,1408,65,9132078,123394,1351.21492,0.0527,28
DF,2020-07-06,2529,27,3015268,60383,2002.5749,0.012,28
ES,2020-07-06,1154,33,4018650,54547,1357.34637,0.0337,28
GO,2020-07-06,1661,33,7018354,30187,430.1151,0.0217,28
MA,2020-07-06,537,31,7075181,90251,1275.59988,0.0249,28
MG,2020-07-06,1343,29,21168791,59626,281.66937,0.0206,28
MS,2020-07-06,434,6,2778986,10687,384.56473,0.012,28
MT,2020-07-06,997,36,3484466,22078,633.61215,0.0388,28
PA,2020-07-06,1617,23,8602865,116152,1350.15486,0.0441,28
PB,2020-07-06,423,19,4018127,53151,1322.78049,0.021,28
PE,2020-07-06,513,20,9557071,65642,686.84223,0.0787,28
PI,2020-07-06,1003,25,3273227,27514,840.5772,0.0303,28
PR,2020-07-06,1310,25,11433957,32769,286.5937,0.025,28
RJ,2020-07-06,587,31,17264943,121879,705.93341,0.0878,28
RN,2020-07-06,841,43,3506853,35897,1023.62432,0.0361,28
RO,2020-07-06,441,3,1777225,23920,1345.9185,0.0233,28
RR,2020-07-06,140,5,605761,19088,3151.07774,0.0197,28
RS,2020-07-06,446,32,11377239,32401,284.7879,0.0234,28
SC,2020-07-06,853,13,7164788,33822,472.05863,0.012,28
SE,2020-07-06,501,28,2298696,30718,1336.32285,0.0269,28
SP,2020-07-06,2891,56,45919049,323070,703.56422,0.0499,28
TO,2020-07-06,364,4,1572866,13004,826.771,0.0175,28
AC,2020-07-07,253,5,881935,14941,1694.11578,0.0267,28
AL,2020-07-07,955,20,3337357,41524,1244.2181,0.0287,28
AM,2020-07-07,2740,14,4144597,79167,1910.1254,0.0373,28
AP,2020-07-07,290,6,845731,30294,3581.99002,0.015,28
BA,2020-07-07,3675,48,14873064,91954,618.25862,0.0241,28
CE,2020-07-07,2748,59,9132078,126142,1381.30664,0.052,28
DF,2020-07-07,2311,41,3015268,62694,2079.21817,0.0122,28
ES,2020-07-07,2156,43,4018650,56703,1410.99623,0.0331,28
GO,2020-07-07,1814,72,7018354,32001,455.96161,0.0227,28
MA,2020-07-07,1837,36,7075181,92088,1301.56388,0.0248,28
MG,2020-07-07,1271,52,21168791,60897,287.67349,0.0211,28
MS,2020-07-07,376,6,2778986,11063,398.09484,0.0121,28
MT,2020-07-07,1428,39,3484466,23506,674.59404,0.0381,28
PA,2020-07-07,2592,41,8602865,118744,1380.28436,0.0435,28
PB,2020-07-07,1651,27,4018127,54802,1363.86929,0.0209,28
PE,2020-07-07,509,71,9557071,66151,692.16813,0.0791,28
PI,2020-07-07,897,24,3273227,28411,867.98135,0.0302,28
PR,2020-07-07,1539,31,11433957,34308,300.0536,0.0248,28
RJ,2020-07-07,2207,183,17264943,124086,718.71653,0.0877,28
RN,2020-07-07,690,35,3506853,36587,1043.30008,0.0364,28
RO,2020-07-07,643,19,1777225,24563,1382.0985,0.0235,28
RR,2020-07-07,196,10,605761,19284,3183.43373,0.02,28
RS,2020-07-07,1399,34,11377239,33800,297.08438,0.0235,28
SC,2020-07-07,1521,14,7164788,35343,493.28745,0.0119,28
SE,2020-07-07,922,25,2298696,31640,1376.43255,0.0269,28
SP,2020-07-07,9638,341,45919049,332708,724.55333,0.0495,28
TO,2020-07-07,436,5,1572866,13440,854.4911,0.0173,28
AC,2020-07-08,226,5,881935,15167,1719.74125,0.0266,28
AL,2020-07-08,798,21,3337357,42322,1268.12924,0.0287,28
AM,2020-07-08,915,15,4144597,80082,1932.20233,0.037,28
AP,2020-07-08,230,7,845731,30524,3609.18543,0.0151,28
BA,2020-07-08,3582,61,14873064,95536,642.34243,0.0238,28
CE,2020-07-08,3456,115,9132078,129598,1419.15126,0.0515,28
DF,2020-07-08,1620,34,3015268,64314,2132.94473,0.0125,28
ES,2020-07-08,2138,33,4018650,58841,1464.19818,0.0325,28
GO,2020-07-08,1366,22,7018354,33367,475.42486,0.0224,28
MA,2020-07-08,851,38,7075181,92939,1313.59184,0.025,28
MG,2020-07-08,3138,73,21168791,64035,302.4972,0.0212,28
MS,2020-07-08,608,2,2778986,11671,419.97333,0.0117,28
MT,2020-07-08,1298,25,3484466,24804,711.84509,0.0371,28
PA,2020-07-08,1987,27,8602865,120731,1403.38132,0.043,28
PB,2020-07-08,1542,26,4018127,56344,1402.24537,0.0208,28
PE,2020-07-08,1453,89,9557071,67604,707.37154,0.0787,28
PI,2020-07-08,1334,26,3273227,29745,908.73624,0.0297,28
PR,2020-07-08,1407,44,11433957,35715,312.35905,0.0251,28
RJ,2020-07-08,2243,89,17264943,126329,731.70818,0.0868,28
RN,2020-07-08,550,19,3506853,37137,1058.98365,0.0364,28
RO,2020-07-08,504,8,1777225,25067,1410.45731,0.0233,28
RR,2020-07-08,870,7,605761,20154,3327.05473,0.0195,28
RS,2020-07-08,1757,32,11377239,35557,312.52749,0.0232,28
SC,2020-07-08,1467,12,7164788,36810,513.76258,0.0117,28
SE,2020-07-08,850,24,2298696,32490,1413.41004,0.0269,28
SP,2020-07-08,8657,313,45919049,341365,743.40608,0.0492,28
TO,2020-07-08,405,7,1572866,13845,880.24027,0.0173,28
AC,2020-07-09,298,7,881935,15465,1753.53059,0.0266,28
AL,2020-07-09,869,17,3337357,43191,1294.16781,0.0285,28
AM,2020-07-09,1236,18,4144597,81318,1962.02429,0.0367,28
AP,2020-07-09,239,5,845731,30763,3637.445,0.0152,28
BA,2020-07-09,2783,51,14873064,98319,661.0541,0.0237,28
CE,2020-07-09,1726,96,9132078,131324,1438.05167,0.0516,28
DF,2020-07-09,1363,22,3015268,65677,2178.14801,0.0125,28
ES,2020-07-09,1168,17,4018650,60009,1493.26266,0.0321,28
GO,2020-07-09,1260,47,7018354,34627,493.37779,0.023,28
MA,2020-07-09,2384,33,7075181,95323,1347.28709,0.0247,28
MG,2020-07-09,2829,90,21168791,66864,315.86121,0.0216,28
MS,2020-07-09,590,10,2778986,12261,441.20409,0.0119,28
MT,2020-07-09,1592,40,3484466,26396,757.53358,0.0364,28
PA,2020-07-09,1943,28,8602865,122674,1425.96681,0.0426,28
PB,2020-07-09,1270,25,4018127,57614,1433.85214,0.0208,28
PE,2020-07-09,1163,86,9557071,68767,719.54054,0.0787,28
PI,2020-07-09,1524,12,3273227,31269,955.2958,0.0287,28
PR,2020-07-09,1709,36,11433957,37424,327.30576,0.0249,28
RJ,2020-07-09,1995,145,17264943,128324,743.26339,0.0866,28
RN,2020-07-09,1205,11,3506853,38342,1093.34494,0.0355,28
RO,2020-07-09,335,4,1777225,25402,1429.30693,0.0232,28
RR,2020-07-09,1066,0,605761,21220,3503.03172,0.0185,28
RS,2020-07-09,877,45,11377239,36434,320.23587,0.0239,28
SC,2020-07-09,1598,15,7164788,38408,536.06611,0.0116,28
SE,2020-07-09,926,26,2298696,33416,1453.69375,0.027,28
SP,2020-07-09,8350,330,45919049,349715,761.59025,0.0489,28
TO,2020-07-09,664,5,1572866,14509,922.4562,0.0169,28
AC,2020-07-10,303,6,881935,15768,1787.88686,0.0264,28
AL,2020-07-10,768,16,3337357,43959,1317.18003,0.0283,28
AM,2020-07-10,1189,23,4144597,82507,1990.71225,0.0365,28
AP,2020-07-10,317,3,845731,31080,3674.92737,0.0151,28
BA,2020-07-10,2867,55,14873064,101186,680.33056,0.0236,28
CE,2020-07-10,3286,68,9132078,134610,1474.03472,0.0508,28
DF,2020-07-10,1620,33,3015268,67297,2231.87458,0.0127,28
ES,2020-07-10,1352,38,4018650,61361,1526.9058,0.0321,28
GO,2020-07-10,1079,40,7018354,35706,508.75177,0.0234,28
MA,2020-07-10,1395,35,7075181,96718,1367.0039,0.0247,28
MG,2020-07-10,3222,59,21168791,70086,331.08173,0.0215,28
MS,2020-07-10,708,7,2778986,12969,466.68101,0.0118,28
MT,2020-07-10,1240,65,3484466,27636,793.12009,0.0371,28
PA,2020-07-10,2260,50,8602865,124934,1452.23713,0.0422,28
PB,2020-07-10,1504,33,4018127,59118,1471.28252,0.0208,28
PE,2020-07-10,1333,73,9557071,70100,733.48833,0.0782,28
PI,2020-07-10,1196,18,3273227,32465,991.83466,0.0282,28
PR,2020-07-10,2088,47,11433957,39512,345.56716,0.0248,28
RJ,2020-07-10,1119,165,17264943,129443,749.74473,0.0871,28
RN,2020-07-10,362,24,3506853,38704,1103.66759,0.0358,28
RO,2020-07-10,598,17,1777225,26000,1462.95489,0.0233,28
RR,2020-07-10,629,3,605761,21849,3606.86806,0.0181,28
RS,2020-07-10,1056,49,11377239,37490,329.51756,0.0245,28
SC,2020-07-10,1698,12,7164788,40106,559.76534,0.0114,28
SE,2020-07-10,1297,30,2298696,34713,1510.11704,0.0268,28
SP,2020-07-10,9395,324,45919049,359110,782.05017,0.0486,28
TO,2020-07-10,430,6,1572866,14939,949.79483,0.0168,28
AC,2020-07-11,312,2,881935,16080,1823.26362,0.0261,28
AL,2020-07-11,674,18,3337357,44633,1337.37565,0.0283,28
AM,2020-07-11,723,15,4144597,83230,2008.15664,0.0363,28
AP,2020-07-11,199,3,845731,31279,3698.45731,0.0151,28
BA,2020-07-11,3002,53,14873064,104188,700.5147,0.0234,28
CE,2020-07-11,1391,25,9132078,136001,1489.26674,0.0505,28
DF,2020-07-11,1109,15,3015268,68406,2268.65406,0.0127,28
ES,2020-07-11,1032,28,4018650,62393,1552.58607,0.032,28
GO,2020-07-11,567,12,7018354,36273,516.83058,0.0234,28
MA,2020-07-11,1680,34,7075181,98398,1390.74887,0.0247,28
MG,2020-07-11,3727,46,21168791,73813,348.68784,0.021,28
MS,2020-07-11,228,8,2778986,13197,474.88544,0.0122,28
MT,2020-07-11,890,21,3484466,28526,818.66203,0.0367,28
PA,2020-07-11,780,15,8602865,125714,1461.30388,0.0421,28
PB,2020-07-11,1303,21,4018127,60421,1503.71056,0.0207,28
PE,2020-07-11,1270,74,9557071,71370,746.77692,0.0778,28
PI,2020-07-11,498,22,3273227,32963,1007.04901,0.0284,28
PR,2020-07-11,1285,38,11433957,40797,356.80561,0.0249,28
RJ,2020-07-11,232,126,17264943,129675,751.08849,0.088,28
RN,2020-07-11,717,8,3506853,39421,1124.11327,0.0354,28
RO,2020-07-11,496,11,1777225,26496,1490.86357,0.0233,28
RR,2020-07-11,376,0,605761,22225,3668.93874,0.0178,28
RS,2020-07-11,1230,24,11377239,38720,340.32862,0.0244,28
SC,2020-07-11,1920,26,7164788,42026,586.56306,0.0115,28
SE,2020-07-11,1333,23,2298696,36046,1568.10644,0.0265,28
SP,2020-07-11,7780,260,45919049,366890,798.99303,0.0482,28
TO,2020-07-11,193,4,1572866,15132,962.06543,0.0169,28
AC,2020-07-12,110,7,881935,16190,1835.73619,0.0263,29
AL,2020-07-12,697,17,3337357,45330,1358.26044,0.0283,29
AM,2020-07-12,296,16,4144597,83526,2015.29847,0.0364,29
AP,2020-07-12,85,1,845731,31364,3708.50779,0.0151,29
BA,2020-07-12,1575,47,14873064,105763,711.10432,0.0235,29
CE,2020-07-12,789,2,9132078,136790,1497.90661,0.0502,29
DF,2020-07-12,2306,31,3015268,70712,2345.13151,0.0128,29
ES,2020-07-12,480,15,4018650,62873,1564.53038,0.032,29
GO,2020-07-12,283,4,7018354,36556,520.86287,0.0233,29
MA,2020-07-12,554,37,7075181,98952,1398.57906,0.0249,29
MG,2020-07-12,2038,26,21168791,75851,358.31522,0.0208,29
MS,2020-07-12,264,6,2778986,13461,484.38531,0.0124,29
MT,2020-07-12,265,30,3484466,28791,826.26721,0.0374,29
PA,2020-07-12,795,4,8602865,126509,1470.54499,0.0418,29
PB,2020-07-12,363,34,4018127,60784,1512.74462,0.0211,29
PE,2020-07-12,1100,39,9557071,72470,758.28672,0.0772,29
PI,2020-07-12,396,24,3273227,33359,1019.14716,0.0288,29
PR,2020-07-12,1740,29,11433957,42537,372.02344,0.0246,29
RJ,2020-07-12,9,9,17264943,129684,751.14062,0.088,29
RN,2020-07-12,487,16,3506853,39908,1138.00037,0.0353,29
RO,2020-07-12,232,11,1777225,26728,1503.91762,0.0235,29
RR,2020-07-12,402,1,605761,22627,3735.30155,0.0175,29
RS,2020-07-12,520,19,11377239,39240,344.89914,0.0245,29
SC,2020-07-12,1005,12,7164788,43031,600.59,0.0115,29
SE,2020-07-12,1585,30,2298696,37631,1637.05858,0.0261,29
SP,2020-07-12,5107,146,45919049,371997,810.11477,0.048,29
TO,2020-07-12,175,4,1572866,15307,973.19161,0.0169,29
AC,2020-07-13,70,4,881935,16260,1843.67329,0.0264,29
AL,2020-07-13,966,16,3337357,46296,1387.2055,0.028,29
AM,2020-07-13,886,9,4144597,84412,2036.6757,0.0361,29
AP,2020-07-13,188,4,845731,31552,3730.73708,0.0151,29
BA,2020-07-13,1128,52,14873064,106891,718.6885,0.0237,29
CE,2020-07-13,444,106,9132078,137234,1502.76859,0.0508,29
DF,2020-07-13,1572,28,3015268,72284,2397.26618,0.0129,29
ES,2020-07-13,1008,30,4018650,63881,1589.61343,0.0319,29
GO,2020-07-13,777,29,7018354,37333,531.93384,0.0236,29
MA,2020-07-13,878,38,7075181,99830,1410.98864,0.0251,29
MG,2020-07-13,971,39,21168791,76822,362.90216,0.021,29
MS,2020-07-13,473,10,2778986,13934,501.40591,0.0127,29
MT,2020-07-13,488,28,3484466,29279,840.27223,0.0377,29
PA,2020-07-13,2061,25,8602865,128570,1494.50212,0.0414,29
PB,2020-07-13,324,18,4018127,61108,1520.80808,0.0213,29
PE,2020-07-13,431,57,9557071,72901,762.79647,0.0775,29
PI,2020-07-13,797,32,3273227,34156,1043.49622,0.029,29
PR,2020-07-13,1045,44,11433957,43582,381.16288,0.025,29
RJ,2020-07-13,2360,59,17264943,132044,764.80994,0.0869,29
RN,2020-07-13,547,39,3506853,40455,1153.5984,0.0358,29
RO,2020-07-13,322,19,1777225,27050,1522.03576,0.0239,29
RR,2020-07-13,341,1,605761,22968,3791.59437,0.0173,29
RS,2020-07-13,416,33,11377239,39656,348.55557,0.0251,29
SC,2020-07-13,784,20,7164788,43815,611.5324,0.0118,29
SE,2020-07-13,590,28,2298696,38221,1662.7253,0.0265,29
SP,2020-07-13,2610,59,45919049,374607,815.79869,0.0478,29
TO,2020-07-13,416,8,1572866,15723,999.64015,0.017,29
AC,2020-07-14,219,6,881935,16479,1868.50505,0.0265,29
AL,2020-07-14,709,17,3337357,47005,1408.44986,0.028,29
AM,2020-07-14,1388,16,4144597,85800,2070.16508,0.0357,29
AP,2020-07-14,333,5,845731,31885,3770.1113,0.0151,29
BA,2020-07-14,3138,49,14873064,110029,739.78704,0.0235,29
CE,2020-07-14,2203,2,9132078,139437,1526.89235,0.05,29
DF,2020-07-14,1370,30,3015268,73654,2442.70161,0.013,29
ES,2020-07-14,1332,42,4018650,65213,1622.75889,0.0319,29
GO,2020-07-14,966,30,7018354,38299,545.69775,0.0238,29
MA,2020-07-14,1637,35,7075181,101467,1434.12585,0.025,29
MG,2020-07-14,1821,73,21168791,78643,371.50445,0.0215,29
MS,2020-07-14,697,6,2778986,14631,526.487,0.0125,29
MT,2020-07-14,639,52,3484466,29918,858.61076,0.0387,29
PA,2020-07-14,2264,19,8602865,130834,1520.81894,0.0408,29
PB,2020-07-14,1354,40,4018127,62462,1554.50537,0.0215,29
PE,2020-07-14,675,63,9557071,73576,769.8593,0.0777,29
PI,2020-07-14,1289,27,3273227,35445,1082.87632,0.0287,29
PR,2020-07-14,1781,57,11433957,45363,396.73929,0.0253,29
RJ,2020-07-14,778,150,17264943,132822,769.31618,0.0875,29
RN,2020-07-14,312,30,3506853,40767,1162.49526,0.0363,29
RO,2020-07-14,478,16,1777225,27528,1548.93162,0.0241,29
RR,2020-07-14,713,5,605761,23681,3909.29756,0.017,29
RS,2020-07-14,1337,65,11377239,40993,360.3071,0.0259,29
SC,2020-07-14,2235,17,7164788,46050,642.72662,0.0116,29
SE,2020-07-14,946,21,2298696,39167,1703.87907,0.0264,29
SP,2020-07-14,12000,417,45919049,386607,841.93163,0.0474,29
TO,2020-07-14,308,4,1572866,16031,1019.22224,0.0169,29
AC,2020-07-15,193,10,881935,16672,1890.38875,0.0268,29
AL,2020-07-15,859,17,3337357,47864,1434.18879,0.0278,29
AM,2020-07-15,1144,16,4144597,86944,2097.76729,0.0354,29
AP,2020-07-15,523,5,845731,32408,3831.95129,0.0151,29
BA,2020-07-15,2964,54,14873064,112993,759.71568,0.0233,29
CE,2020-07-15,2395,104,9132078,141832,1553.11858,0.0499,29
DF,2020-07-15,1725,41,3015268,75379,2499.91046,0.0133,29
ES,2020-07-15,1139,14,4018650,66352,1651.10174,0.0316,29
GO,2020-07-15,1175,49,7018354,39474,562.43957,0.0243,29
MA,2020-07-15,1002,36,7075181,102469,1448.28804,0.0251,29
MG,2020-07-15,3367,64,21168791,82010,387.40994,0.0214,29
MS,2020-07-15,699,8,2778986,15330,551.64006,0.0125,29
MT,2020-07-15,618,39,3484466,30536,876.34662,0.0392,29
PA,2020-07-15,2205,48,8602865,133039,1546.44993,0.0405,29
PB,2020-07-15,1477,41,4018127,63939,1591.26379,0.0216,29
PE,2020-07-15,1384,57,9557071,74960,784.34073,0.077,29
PI,2020-07-15,1097,24,3273227,36542,1116.39064,0.0285,29
PR,2020-07-15,1761,54,11433957,47124,412.14078,0.0255,29
RJ,2020-07-15,1627,133,17264943,134449,778.7399,0.0874,29
RN,2020-07-15,329,28,3506853,41096,1171.87689,0.0367,29
RO,2020-07-15,389,4,1777225,27917,1570.81968,0.0239,29
RR,2020-07-15,716,12,605761,24397,4027.49599,0.017,29
RS,2020-07-15,1246,41,11377239,42239,371.25879,0.0261,29
SC,2020-07-15,1926,35,7164788,47976,669.60809,0.0119,29
SE,2020-07-15,972,21,2298696,40139,1746.16391,0.0263,29
SP,2020-07-15,6569,316,45919049,393176,856.23724,0.0474,29
TO,2020-07-15,641,7,1572866,16672,1059.97587,0.0167,29
AC,2020-07-16,193,1,881935,16865,1912.27245,0.0265,29
AL,2020-07-16,870,17,3337357,48734,1460.25732,0.0277,29
AM,2020-07-16,1081,14,4144597,88025,2123.84944,0.0351,29
AP,2020-07-16,596,5,845731,33004,3902.42287,0.0149,29
BA,2020-07-16,3380,55,14873064,116373,782.44133,0.0231,29
CE,2020-07-16,2226,58,9132078,144058,1577.49419,0.0496,29
DF,2020-07-16,2242,36,3015268,77621,2574.26537,0.0134,29
ES,2020-07-16,1766,40,4018650,68118,1695.04684,0.0314,29
GO,2020-07-16,1070,59,7018354,40544,577.68531,0.0251,29
MA,2020-07-16,1657,36,7075181,104126,1471.70793,0.025,29
MG,2020-07-16,2460,82,21168791,84470,399.03082,0.0217,29
MS,2020-07-16,475,12,2778986,15805,568.73262,0.0128,29
MT,2020-07-16,1181,39,3484466,31717,910.2399,0.0389,29
PA,2020-07-16,2125,63,8602865,135164,1571.15101,0.0403,29
PB,2020-07-16,1484,35,4018127,65423,1628.19642,0.0217,29
PE,2020-07-16,1131,64,9557071,76091,796.1749,0.0767,29
PI,2020-07-16,515,22,3273227,37057,1132.12435,0.0287,29
PR,2020-07-16,2281,46,11433957,49405,432.09013,0.0252,29
RJ,2020-07-16,124,92,17264943,134573,779.45812,0.088,29
RN,2020-07-16,328,25,3506853,41424,1181.23001,0.037,29
RO,2020-07-16,737,10,1777225,28654,1612.28882,0.0236,29
RR,2020-07-16,610,10,605761,25007,4128.19577,0.017,29
RS,2020-07-16,3105,40,11377239,45344,398.55012,0.0252,29
SC,2020-07-16,1805,19,7164788,49781,694.80074,0.0118,29
SE,2020-07-16,1087,17,2298696,41226,1793.45159,0.026,29
SP,2020-07-16,8872,398,45919049,402048,875.5582,0.0474,29
TO,2020-07-16,282,5,1572866,16954,1077.90492,0.0167,29
AC,2020-07-17,100,5,881935,16965,1923.61115,0.0266,29
AL,2020-07-17,519,17,3337357,49253,1475.80855,0.0277,29
AM,2020-07-17,797,24,4144597,88822,2143.07929,0.0351,29
AP,2020-07-17,432,6,845731,33436,3953.50295,0.0149,29
BA,2020-07-17,2284,45,14873064,118657,797.79795,0.0231,29
CE,2020-07-17,2006,27,9132078,146064,1599.46071,0.0491,29
DF,2020-07-17,1779,23,3015268,79400,2633.2651,0.0134,29
ES,2020-07-17,1345,38,4018650,69463,1728.5158,0.0313,29
GO,2020-07-17,174,33,7018354,40718,580.16452,0.0258,29
MA,2020-07-17,1057,32,7075181,105183,1486.64748,0.0251,29
MG,2020-07-17,2801,70,21168791,87271,412.26256,0.0218,29
MS,2020-07-17,201,13,2778986,16006,575.96548,0.0135,29
MT,2020-07-17,604,56,3484466,32321,927.57398,0.0399,29
PA,2020-07-17,1783,30,8602865,136947,1591.87666,0.04,29
PB,2020-07-17,924,28,4018127,66347,1651.19221,0.0218,29
PE,2020-07-17,1332,33,9557071,77423,810.11222,0.0758,29
PI,2020-07-17,1511,18,3273227,38568,1178.28675,0.0281,29
PR,2020-07-17,1916,46,11433957,51321,448.84724,0.0252,29
RJ,2020-07-17,657,70,17264943,135230,783.26352,0.0881,29
RN,2020-07-17,2149,45,3506853,43573,1242.51002,0.0362,29
RO,2020-07-17,463,9,1777225,29117,1638.34067,0.0236,29
RR,2020-07-17,366,4,605761,25373,4188.61564,0.0169,29
RS,2020-07-17,1366,33,11377239,46710,410.55655,0.0251,29
SC,2020-07-17,1768,58,7164788,51549,719.47698,0.0125,29
SE,2020-07-17,662,17,2298696,41888,1822.25053,0.026,29
SP,2020-07-17,5367,339,45919049,407415,887.24616,0.0476,29
TO,2020-07-17,255,5,1572866,17209,1094.11736,0.0167,29
AC,2020-07-18,237,5,881935,17202,1950.48388,0.0266,29
AL,2020-07-18,330,16,3337357,49583,1485.69662,0.0279,29
AM,2020-07-18,1712,11,4144597,90534,2184.38608,0.0346,29
AP,2020-07-18,149,6,845731,33585,3971.12084,0.015,29
BA,2020-07-18,1581,55,14873064,120238,808.42791,0.0232,29
CE,2020-07-18,908,12,9132078,146972,1609.40369,0.0488,29
DF,2020-07-18,1763,15,3015268,81163,2691.7342,0.0132,29
ES,2020-07-18,668,28,4018650,70131,1745.13829,0.0314,29
GO,2020-07-18,50,35,7018354,40768,580.87694,0.0266,29
MA,2020-07-18,909,36,7075181,106092,1499.49521,0.0252,29
MG,2020-07-18,3604,60,21168791,90875,429.28762,0.0216,29
MS,2020-07-18,397,6,2778986,16403,590.25126,0.0135,29
MT,2020-07-18,445,21,3484466,32766,940.34495,0.04,29
PA,2020-07-18,537,45,8602865,137484,1598.11877,0.0402,29
PB,2020-07-18,624,31,4018127,66971,1666.72183,0.0221,29
PE,2020-07-18,1086,59,9557071,78509,821.47553,0.0755,29
PI,2020-07-18,728,17,3273227,39296,1200.5278,0.028,29
PR,2020-07-18,2232,16,11433957,53553,468.36804,0.0244,29
RJ,2020-07-18,0,0,17264943,135230,783.26352,0.0881,29
RN,2020-07-18,193,0,3506853,43766,1248.01353,0.036,29
RO,2020-07-18,0,0,1777225,29117,1638.34067,0.0236,29
RR,2020-07-18,94,0,605761,25467,4204.13331,0.0168,29
RS,2020-07-18,137,55,11377239,46847,411.76071,0.0262,29
SC,2020-07-18,982,16,7164788,52531,733.18289,0.0126,29
SE,2020-07-18,1184,23,2298696,43072,1873.75799,0.0258,29
SP,2020-07-18,4612,270,45919049,412027,897.28992,0.0477,29
